date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:53	157876/157876	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2017:30:54%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/01/tangerine-thumbnail-1.jpg	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/01/tangerine-thumbnail-1.jpg	(from https://kota.co.uk/)
22:30:54	1222688/1222688	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jul%202024%2017:30:53%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/05/hero.png	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/05/hero.png	(from https://kota.co.uk/)
22:30:55	148890/148890	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2017:30:56%20GMT	https://kota-content.b-cdn.net/app/uploads/2023/10/wogan-featured-2.jpg	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2023/10/wogan-featured-2.jpg	(from https://kota.co.uk/)
22:30:56	459601/459601	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2017:30:56%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/02/featured-4.jpg	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/02/featured-4.jpg	(from https://kota.co.uk/)
22:30:56	648665/648665	---MC-	200	added ('OK')	image/png	date:Wed,%2003%20Jul%202024%2017:30:57%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/05/pison-stats.png	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/05/pison-stats.png	(from https://kota.co.uk/)
22:30:57	150806/150806	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2017:30:57%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/05/Statistics-bg-black.jpeg	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/05/Statistics-bg-black.jpg	(from https://kota.co.uk/)
22:30:57	160397/160397	---MC-	200	added ('OK')	image/png	date:Wed,%2003%20Jul%202024%2017:30:58%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/05/wogan-stat-1.png	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/05/wogan-stat-1.png	(from https://kota.co.uk/)
22:30:58	17384/17384	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jul%202024%2005:50:05%20GMT	https://kota-content.b-cdn.net/app/uploads/2023/10/post-2.jpg	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2023/10/post-2.jpg	(from https://kota.co.uk/)
22:31:00	704187/704187	---MC-	200	added ('OK')	image/png	date:Wed,%2003%20Jul%202024%2017:30:59%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/05/DK-Stat.png	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/05/DK-Stat.png	(from https://kota.co.uk/)
22:31:00	500530/500530	---MC-	200	added ('OK')	image/png	date:Wed,%2003%20Jul%202024%2005:50:05%20GMT	https://kota-content.b-cdn.net/app/uploads/2024/06/clutch-top-branding-company-2024-1.png	C:/xampp/htdocs/artistic/kota-content.b-cdn.net/app/uploads/2024/06/clutch-top-branding-company-2024-1.png	(from https://kota.co.uk/)
22:31:01	9380/9380	---M--	200	added ('OK')	image/png	etag:%222ea316dc8edfed4d35527c84b6399145%22	https://kota.co.uk/_next/static/media/noise-w.ea6f056b.png	C:/xampp/htdocs/artistic/kota.co.uk/_next/static/media/noise-w.ea6f056b.png	(from https://kota.co.uk/_next/static/css/2989b0599720aa2c.css)
22:31:05	168390/168390	---MCZ	200	added ('OK')	text/html	etag:W/%227e602eacda93eac19f1aab6b5601eb3d%22	https://kota.co.uk/agency	C:/xampp/htdocs/artistic/kota.co.uk/agency.html	(from https://kota.co.uk/agency/)
22:31:07	80339/80339	---MCZ	200	added ('OK')	text/html	etag:W/%22ec11e53b33b46794dbb557be604511ef%22	https://kota.co.uk/culture	C:/xampp/htdocs/artistic/kota.co.uk/culture.html	(from https://kota.co.uk/culture/)
